station_std_id,1_code,2_code,3_code,4_code,5_code,1_ratio,2_ratio,3_ratio,4_ratio,5_ratio,building_cnt,area
107900049,1,2,3,43,6,0.71817,0.16464,0.03869,0.02835,0.01676,490,131236.3
107900050,1,4,2,3,6,0.57478,0.25125,0.14668,0.01588,0.0103,121,88016.0
107900051,1,2,4,9,3,0.63208,0.12516,0.12245,0.04258,0.03875,504,290658.1
107900052,1,\N,\N,\N,\N,1,\N,\N,\N,\N,3,157.4
107900053,1,2,6,3,4,0.86684,0.05784,0.03035,0.02595,0.01262,291,306044.7
107900055,1,2,4,6,3,0.64658,0.15137,0.09237,0.03079,0.02938,2193,654020.4
107900056,1,4,2,12,3,0.48341,0.23831,0.12881,0.062,0.05216,863,1135400.1
107900057,1,4,6,2,\N,0.90041,0.08021,0.01029,0.00909,\N,74,64502.9
107900058,1,59,4,88,6,0.49721,0.40394,0.05102,0.01813,0.01393,114,281628.6
107900060,38,4,1,2,6,0.39784,0.28887,0.25383,0.03054,0.02488,211,462668.4
107900061,1,2,4,3,6,0.73826,0.09662,0.08817,0.03364,0.02833,410,393010.2
107900063,1,2,4,3,5,0.64916,0.15374,0.06913,0.04827,0.02228,1983,590337.6
107900064,1,4,2,5,3,0.58299,0.13054,0.11394,0.06468,0.04457,2037,2124152.8
107900065,4,1,2,6,3,0.67311,0.19438,0.06161,0.03784,0.02424,112,91601.5
107900066,1,11,6,2,3,0.56884,0.14004,0.13388,0.10027,0.02378,1225,427393.6
107900067,1,4,2,13,6,0.86673,0.06227,0.02733,0.02586,0.01251,109,112591.0
107900068,9,2,1,3,4,0.81803,0.11424,0.04571,0.01973,0.00141,301,867654.1
107900069,1,2,3,4,6,0.68983,0.13601,0.08029,0.05106,0.02866,879,272709.8
107900070,1,4,\N,\N,\N,0.99555,0.00445,\N,\N,\N,49,7174677.3
107900071,1,4,6,2,3,0.83593,0.13282,0.01696,0.01273,0.00129,65,240332.3
107900072,1,2,6,4,3,0.93137,0.03073,0.02737,0.00527,0.00526,298,313611.7
107900073,38,1,4,2,6,0.44497,0.29954,0.18199,0.03695,0.02794,259,413664.8
107900074,1,11,2,4,3,0.63645,0.16076,0.06896,0.05135,0.04235,1037,998759.2
107900076,1,2,3,6,12,0.65403,0.17792,0.09191,0.01831,0.01402,1636,462841.5
107900077,1,6,2,4,\N,0.84554,0.08244,0.05514,0.01689,\N,170,83314.6
107900079,4,5,1,2,3,0.42448,0.22033,0.17094,0.08817,0.04497,209,144672.6
107900080,4,9,2,1,3,0.89209,0.07838,0.01663,0.00858,0.00391,609,9125354.9
107900081,1,38,59,4,2,0.44077,0.22972,0.14197,0.11467,0.04174,501,801276.9
107900082,1,2,4,3,6,0.70042,0.12214,0.08454,0.04382,0.02492,572,434495.3
107900083,1,2,4,3,6,0.61237,0.17987,0.06961,0.06642,0.02593,3612,1063482.5
107900084,1,2,3,4,6,0.60062,0.22107,0.08594,0.03556,0.02803,1389,375711.9
107900086,5,1,2,9,3,0.37779,0.21209,0.11576,0.11511,0.08194,162,84375.3
107900087,1,2,3,6,5,0.86087,0.0462,0.03311,0.02388,0.01735,389,745544.9
